scan_id,diameter_um,flow_mm_s,region,side,n_defined,curve_median,curve_MAD,RCV,first_median,last_median,first_coverage,last_coverage,signed_difference,absolute_difference,relative_difference,status
D285_F01_V01,285,1,tail100,bg,453,15595024.681998098,894562.73309908621,0.085044989356360345,18065189.345126808,14585074.750518059,26,51,-3480114.5946087483,3480114.5946087483,-0.22315543999272863,ok
D285_F01_V01,285,1,tail500,left,453,15500514.404551962,610754.58995606191,0.058417722885567076,17682034.498837091,14735584.529261261,26,51,-2946449.9695758298,2946449.9695758298,-0.19008723792486265,ok
D285_F01_V01,285,1,tail500,right,453,15641244.651472405,768933.63310844265,0.072885568242758741,18028903.202397455,14734054.609731175,26,51,-3294848.5926662795,3294848.5926662795,-0.21065130468092996,ok
D285_F01_V01,285,1,tail500,bg,453,15543713.683728414,639815.13896034285,0.061027238684640356,17826896.201606221,14734054.609731175,26,51,-3092841.5918750465,3092841.5918750465,-0.19897700477542365,ok
D285_F03_V01,285,3,source,left,474,15412063.911552314,760167.42738397513,0.073126106555703146,15934473.717896625,14947562.783821478,25,51,-986910.93407514691,986910.93407514691,-0.064034962464397452,ok
D285_F03_V01,285,3,source,right,474,15613816.624133656,876617.45001340006,0.083238650912616327,17048193.583144967,15327434.454709152,25,51,-1720759.1284358148,1720759.1284358148,-0.11020746367522376,ok
D285_F03_V01,285,3,source,bg,474,15560987.62276838,650003.36655651964,0.061930194574966804,16828989.282769151,15240052.948531626,25,51,-1588936.3342375252,1588936.3342375252,-0.10211024986053201,ok
D285_F03_V01,285,3,tail100,left,474,15837054.830804732,998154.07833835762,0.093443083474457622,17770625.30772353,15309990.947135789,25,51,-2460634.3605877403,2460634.3605877403,-0.15537196700244724,ok
D285_F03_V01,285,3,tail100,right,474,16058045.256374411,998316.10655186232,0.092172081716250492,17684842.404668108,15388819.436132403,25,51,-2296022.9685357045,2296022.9685357045,-0.14298271874805396,ok
D285_F03_V01,285,3,tail100,bg,474,15884751.532976681,735028.71528049,0.068603753166206607,17570563.502149682,15351765.888964737,25,51,-2218797.6131849457,2218797.6131849457,-0.13968097697837645,ok
D285_F03_V01,285,3,tail500,left,474,15720087.579067487,650910.99391945451,0.061389011653472561,17418314.704975523,14876728.340307569,25,51,-2541586.3646679539,2541586.3646679539,-0.16167762118910028,ok
D285_F03_V01,285,3,tail500,right,474,15860556.953799551,717382.17324240878,0.067058856328144373,17809279.997177362,15154108.897793269,25,51,-2655171.0993840937,2655171.0993840937,-0.16740717915003744,ok
D285_F03_V01,285,3,tail500,bg,474,15769829.93180931,629592.53703912813,0.059191119970887107,17655567.695208006,15013869.793245062,25,51,-2641697.9019629434,2641697.9019629434,-0.16751594109676332,ok
D285_F05_V01,285,5,source,left,492,15665929.778361924,806783.81042340863,0.076352804733356677,16872386.711038008,15947022.173090125,51,50,-925364.53794788383,925364.53794788383,-0.059068599887765021,ok
D285_F05_V01,285,5,source,right,492,15825735.488197837,820000.94676901679,0.076820025494953259,17679608.799193274,15473694.178995412,51,50,-2205914.6201978624,2205914.6201978624,-0.13938781055976451,ok
D285_F05_V01,285,5,source,bg,492,15735294.747694518,709598.24699249584,0.066859272600865452,16991911.682018835,15712619.795162845,51,50,-1279291.8868559897,1279291.8868559897,-0.081300789554223457,ok
D285_F05_V01,285,5,tail100,left,492,15944717.686093779,1068887.334454204,0.099389176607619117,18187665.447829764,14690557.418289399,51,50,-3497108.0295403656,3497108.0295403656,-0.21932705855246193,ok
