scan_id,diameter_um,flow_mm_s,mode,pair,metric,baseline_51,value,change
D285_F03_V01,285,3,detrended_31,C16,rho_median,0.083769997246192163,0.061993508385191479,-0.021776488861000684
D285_F03_V01,285,3,detrended_31,W100,rho0,0.2003444456447302,0.15879457900546876,-0.04154986663926144
D285_F03_V01,285,3,detrended_31,W100,specificity,0.22802607818729764,0.16032471961898381,-0.06770135856831383
D285_F03_V01,285,3,detrended_31,W500,rho0,0.27000212184519917,0.21644311514682063,-0.053559006698378542
D285_F03_V01,285,3,detrended_31,W500,specificity,0.29011293400246974,0.22096632579886211,-0.069146608203607629
D285_F03_V01,285,3,detrended_31,C100,rho0,0.22183742335902024,0.19764389579329478,-0.024193527565725459
D285_F03_V01,285,3,detrended_31,C100,specificity,0.25680441108082241,0.21405378535225816,-0.042750625728564251
D285_F03_V01,285,3,detrended_101,C16,rho_median,0.083769997246192163,0.15286330717966479,0.069093309933472624
D285_F03_V01,285,3,detrended_101,W100,rho0,0.2003444456447302,0.33032976202185438,0.12998531637712418
D285_F03_V01,285,3,detrended_101,W100,specificity,0.22802607818729764,0.5182562794603166,0.29023020127301896
D285_F03_V01,285,3,detrended_101,W500,rho0,0.27000212184519917,0.40893245487716079,0.13893033303196162
D285_F03_V01,285,3,detrended_101,W500,specificity,0.29011293400246974,0.62591147437840178,0.33579854037593204
D285_F03_V01,285,3,detrended_101,C100,rho0,0.22183742335902024,0.37242141457295952,0.15058399121393928
D285_F03_V01,285,3,detrended_101,C100,specificity,0.25680441108082241,0.5751676670529402,0.31836325597211779
D285_F05_V01,285,5,detrended_31,C16,rho_median,0.13442732449436331,0.10143535674698424,-0.032991967747379072
D285_F05_V01,285,5,detrended_31,W100,rho0,0.22799809119776163,0.22864977524625654,0.00065168404849491601
D285_F05_V01,285,5,detrended_31,W100,specificity,0.21179563708235144,0.22861049514968451,0.016814858067333072
D285_F05_V01,285,5,detrended_31,W500,rho0,0.28733370987447399,0.25193507415140048,-0.035398635723073502
D285_F05_V01,285,5,detrended_31,W500,specificity,0.27978107789421169,0.26299453808273471,-0.016786539811476986
D285_F05_V01,285,5,detrended_31,C100,rho0,0.33601827724343497,0.31016038985056027,-0.025857887392874701
D285_F05_V01,285,5,detrended_31,C100,specificity,0.29680260471709202,0.30234605721984092,0.0055434525027489023
D285_F05_V01,285,5,detrended_101,C16,rho_median,0.13442732449436331,0.14502040325225224,0.010593078757888924
D285_F05_V01,285,5,detrended_101,W100,rho0,0.22799809119776163,0.23687529835952054,0.0088772071617589099
D285_F05_V01,285,5,detrended_101,W100,specificity,0.21179563708235144,0.27685189713819586,0.065056260055844417
D285_F05_V01,285,5,detrended_101,W500,rho0,0.28733370987447399,0.29421938358810829,0.0068856737136342994
D285_F05_V01,285,5,detrended_101,W500,specificity,0.27978107789421169,0.37552802993269685,0.095746952038485156
D285_F05_V01,285,5,detrended_101,C100,rho0,0.33601827724343497,0.37092786376292913,0.034909586519494162
D285_F05_V01,285,5,detrended_101,C100,specificity,0.29680260471709202,0.37706551919171155,0.080262914474619529
D285_F07_V01,285,7,detrended_31,C16,rho_median,0.10966066457883336,0.066408830863770751,-0.04325183371506261
D285_F07_V01,285,7,detrended_31,W100,rho0,0.22928497994187977,0.15342431095298822,-0.075860668988891544
D285_F07_V01,285,7,detrended_31,W100,specificity,0.21335519142293413,0.14348103824974565,-0.069874153173188486
D285_F07_V01,285,7,detrended_31,W500,rho0,0.24010875983557273,0.16742000254946077,-0.07268875728611196
D285_F07_V01,285,7,detrended_31,W500,specificity,0.21728391618158993,0.15076590926868141,-0.066518006912908517
