scan_id,diameter_um,flow_mm_s,offset,support,mode,n_common,pair,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak,baseline_common_rho0,rho0_change,baseline_common_specificity,specificity_change
D235_F01_V01,235,1,xp,five_position_common,detrended_51,448,W500,0.31015459911361865,448,ok,0.32290339266775647,ok,42,0,0.31015459911361865,1,ok,101,False,0.33998536204905688,-0.029830762935438238,0.35083251842211205,-0.027929125754355577
D235_F01_V01,235,1,xp,five_position_common,detrended_51,448,C100,0.39079918875252756,448,ok,0.39127536622455139,ok,42,-2,0.41518528865149218,3,ok,101,False,0.39241701973925625,-0.0016178309867286855,0.39210583513723413,-0.00083046891268273582
D235_F01_V01,235,1,xm,five_position_common,detrended_51,448,W100,0.23393858201956669,448,ok,0.24102926185884188,ok,42,-2,0.25030808429685397,2,ok,101,False,0.24619252799692723,-0.012253945977360542,0.24527921401177588,-0.0042499521529340001
D235_F01_V01,235,1,xm,five_position_common,detrended_51,448,W500,0.33331337000830846,448,ok,0.34101070594448218,ok,42,0,0.33331337000830846,1,ok,101,False,0.33998536204905688,-0.0066719920407484201,0.35083251842211205,-0.0098218124776298654
D235_F01_V01,235,1,xm,five_position_common,detrended_51,448,C100,0.37052432175666439,448,ok,0.35519702513185575,ok,42,-2,0.38456214059735133,2,ok,101,False,0.39241701973925625,-0.021892697982591858,0.39210583513723413,-0.036908810005378379
D235_F01_V01,235,1,zp,five_position_common,detrended_51,448,W100,0.27602909932252656,448,ok,0.29281882166504797,ok,42,-2,0.29074266185167813,2,ok,101,False,0.24619252799692723,0.029836571325599331,0.24527921401177588,0.047539607653272087
D235_F01_V01,235,1,zp,five_position_common,detrended_51,448,W500,0.35904539101396238,448,ok,0.37783378037885706,ok,42,0,0.35904539101396238,1,ok,101,False,0.33998536204905688,0.019060028964905495,0.35083251842211205,0.027001261956745015
D235_F01_V01,235,1,zp,five_position_common,detrended_51,448,C100,0.40285255460813973,448,ok,0.40516771731979095,ok,42,0,0.40285255460813973,1,ok,101,False,0.39241701973925625,0.010435534868883489,0.39210583513723413,0.013061882182556828
D235_F01_V01,235,1,zm,five_position_common,detrended_51,448,W100,0.20293502584266249,448,ok,0.21357013980730699,ok,42,-2,0.23198944754148307,2,ok,101,False,0.24619252799692723,-0.043257502154264743,0.24527921401177588,-0.03170907420446889
D235_F01_V01,235,1,zm,five_position_common,detrended_51,448,W500,0.31094854506064978,448,ok,0.32344844337017814,ok,42,0,0.31094854506064978,1,ok,101,False,0.33998536204905688,-0.029036816988407099,0.35083251842211205,-0.027384075051933909
