flow_mm_s,metric,diameter_from_um,diameter_to_um,value_from,value_to,absolute_difference,percent_difference
10,ri_tail_100um,128,500,0.46592826556091776,0.31639165389046398,-0.14953661167045379,-32.094342138790594
10,ri_tail_200um,128,235,0.37404227426518855,0.22825631330610921,-0.14578596095907934,-38.975797921632775
10,ri_tail_200um,235,285,0.22825631330610921,0.2067411758494504,-0.021515137456658812,-9.4258674141491809
10,ri_tail_200um,285,500,0.2067411758494504,0.28944582101832628,0.082704645168875879,40.003954136887401
10,ri_tail_200um,128,500,0.37404227426518855,0.28944582101832628,-0.084596453246862269,-22.616816083971582
10,ri_tail_300um,128,235,0.3193150635672396,0.19871596028412211,-0.12059910328311749,-37.768059525861482
10,ri_tail_300um,235,285,0.19871596028412211,0.18456219465634494,-0.014153765627777176,-7.1226113934382829
10,ri_tail_300um,285,500,0.18456219465634494,0.27208631850440052,0.087524123848055579,47.422563440484453
10,ri_tail_300um,128,500,0.3193150635672396,0.27208631850440052,-0.047228745062839084,-14.790641110137893
10,ri_tail_500um,128,235,0.25946745609265892,0.16937144089605621,-0.090096015196602708,-34.723435668336123
10,ri_tail_500um,235,285,0.16937144089605621,0.16013145527090444,-0.0092399856251517698,-5.4554567028938354
10,ri_tail_500um,285,500,0.16013145527090444,0.25764217124228139,0.097510715971376949,60.894167111896877
10,ri_tail_500um,128,500,0.25946745609265892,0.25764217124228139,-0.0018252848503775287,-0.70347352144451514
