scan_id,diameter_um,flow_mm_s,grid_scope,region,side,n,median,min,max,p5,p10,p90,p95,p99,mad
D285_F01_V01,285,1,common_grid,t19,left,453,137.35442287238774,95.598429129974306,162.41842524917598,120.57129465337422,124.22669357587392,150.26822344295624,153.93730395203829,158.96026838735062,7.6897786477440491
D285_F01_V01,285,1,common_grid,t19,right,453,137.35442287238769,95.598429129974306,162.41842524917578,120.57129465337425,124.22669357587392,150.26822344295638,153.93730395203821,158.96026838735062,7.6897786477443333
D285_F01_V01,285,1,common_grid,t19,bg,453,274.70884574477543,191.19685825994856,324.83685049835162,241.14258930674848,248.45338715174779,300.5364468859126,307.87460790407647,317.92053677470125,15.379557295488382
D285_F01_V01,285,1,common_grid,t20,real,453,134.39388315640323,93.53789885867775,158.91765557243539,117.9724987867087,122.09277428381959,147.26347282543568,150.6193365172,155.25608012219436,7.5240330196259606
D285_F01_V01,285,1,common_grid,t20,left,453,134.39388315640323,93.53789885867775,158.91765557243539,117.9724987867087,121.54910917468935,147.02933943580177,150.6193365172,155.53403588618431,7.5240330196259606
D285_F01_V01,285,1,common_grid,t20,right,453,134.39388315640321,93.53789885867775,158.91765557243517,117.97249878670874,121.54910917468935,147.02933943580192,150.61933651719988,155.53403588618431,7.524033019626188
D285_F01_V01,285,1,common_grid,t20,bg,453,268.78776631280641,187.07579771735541,317.83531114487056,235.94499757341742,243.09821834937873,294.05867887160366,301.23867303439982,311.06807177236863,15.048066039252205
D285_F01_V01,285,1,common_grid,tail100,real,453,499.06345148395559,347.34725682896317,590.13097790633617,438.0836466802877,453.38403731086271,546.85388426678549,559.31567848976022,576.53394179763472,27.94003565983661
D285_F01_V01,285,1,common_grid,tail100,left,453,499.06345148395559,347.34725682896317,590.13097790633617,438.0836466802877,451.3651702356546,545.98444426852063,559.31567848976022,577.56611349830087,27.94003565983661
D285_F01_V01,285,1,common_grid,tail100,right,453,499.06345148395542,347.34725682896317,590.13097790633537,438.08364668028781,451.3651702356546,545.9844442685212,559.31567848975999,577.56611349830087,27.940035659837463
D285_F01_V01,285,1,common_grid,tail100,bg,453,998.12690296791106,694.69451365792634,1180.2619558126714,876.16729336057551,902.7303404713092,1091.9688885370417,1118.6313569795202,1155.1322269966017,55.880071319674016
D285_F01_V01,285,1,common_grid,tail500,real,453,2424.7258681986291,1687.6048053142126,2867.1822059901911,2128.4522987647233,2202.7900464903628,2656.9181841784357,2717.4644628665806,2801.1202952540598,135.74812385349742
D285_F01_V01,285,1,common_grid,tail500,left,453,2424.7258681986291,1687.6048053142126,2867.1822059901911,2128.4522987647233,2192.9812752666676,2652.6939644958061,2717.4644628665806,2806.1351554198091,135.74812385349742
D285_F01_V01,285,1,common_grid,tail500,right,453,2424.7258681986291,1687.6048053142126,2867.1822059901883,2128.4522987647233,2192.9812752666676,2652.6939644958088,2717.4644628665787,2806.1351554198091,135.74812385350106
D285_F01_V01,285,1,common_grid,tail500,bg,453,4849.4517363972591,3375.2096106284253,5734.3644119803794,4256.9045975294466,4385.9625505333352,5305.3879289916149,5434.9289257331593,5612.2703108396181,271.49624770699666
D285_F03_V01,285,3,common_grid,source,real,474,1089.2789231262989,650.88579767992712,1357.6618359932859,954.96724856806338,988.13835455499589,1189.92963054969,1201.6516275674562,1257.0028581601211,35.124087058032273
D285_F03_V01,285,3,common_grid,source,left,474,1089.2789231262989,652.48707744064927,1357.6618359932859,954.96724856806338,988.23633282164997,1189.5633849429487,1201.648175386789,1257.2416498087973,35.138064099508711
D285_F03_V01,285,3,common_grid,source,right,474,1089.2789231262989,652.48707744064927,1357.6618359932859,954.96724856806338,988.23633282164997,1189.5633849429487,1201.648175386789,1257.2416498087973,35.138064099508711
D285_F03_V01,285,3,common_grid,source,bg,474,2178.5578462525978,1304.9741548812985,2715.3236719865718,1909.9344971361268,1976.4726656432999,2379.1267698858974,2403.2963507735781,2514.4832996175946,70.276128199017421
D285_F03_V01,285,3,common_grid,s1,real,474,122.58809181491688,73.456037514654156,152.87444108387541,107.48127432710515,111.24615564905955,133.9375930458194,135.24708261275148,141.47295934785203,3.9272690960806358
D285_F03_V01,285,3,common_grid,s1,left,474,122.58809181491688,73.503983137418118,152.87444108387541,107.48127432710515,111.24144789641186,133.90882380440115,135.25085465593708,141.51870865076322,3.926368767065739
D285_F03_V01,285,3,common_grid,s1,right,474,122.58809181491688,73.503983137418118,152.87444108387541,107.48127432710515,111.24144789641186,133.90882380440115,135.25085465593708,141.51870865076322,3.926368767065739
