scan_id,diameter_um,flow_mm_s,grid_scope,parameter,unit,n_adjacent_pairs,outlier_flag_fraction,n,median,min,max,p5,p10,p90,p95,p99,mad
D500_F09_V01,500,9,d500_extension,X4,um,481,0,481,8.2212760332850046,0,47.153795449373483,0.25284626406738081,1.3582982301693447,24.060089553112906,28.158923076173608,39.419620912937852,5.5698570132741336
D500_F09_V01,500,9,d500_extension,X1,pixel,481,0.0062370062370062374,481,2,0,10,0,0,5,7,8,1
D500_F09_V01,500,9,d500_extension,X1,um,481,0.0062370062370062374,481,25.399999999999999,0,127,0,0,63.5,88.899999999999991,101.59999999999999,12.699999999999999
D500_F09_V01,500,9,d500_extension,z_top,pixel,481,0.076923076923076927,481,0,0,1,0,0,0,1,1,0
D500_F09_V01,500,9,d500_extension,z_top,um,481,0.076923076923076927,481,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D500_F10_V01,500,10,common_grid,X4,pixel,499,0,499,0.77024913124233763,0,3.5181897343079527,0.033087106349319141,0.10715326619350662,1.704489836893083,2.0310632080000333,2.4887439368217188,0.44348704417097906
D500_F10_V01,500,10,common_grid,X4,um,499,0,499,9.7821639667776878,0,44.681009625710999,0.42020625063635308,1.360846480657534,21.647020928542151,25.794502741600422,31.607047997635828,5.6322854609714339
D500_F10_V01,500,10,common_grid,X1,pixel,499,0,499,2,0,9,0,0,5,6,8,1
D500_F10_V01,500,10,common_grid,X1,um,499,0,499,25.399999999999999,0,114.3,0,0,63.5,76.199999999999989,101.59999999999999,12.699999999999999
D500_F10_V01,500,10,common_grid,z_top,pixel,499,0.076152304609218444,499,0,0,1,0,0,0,1,1,0
D500_F10_V01,500,10,common_grid,z_top,um,499,0.076152304609218444,499,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D500_F12_V01,500,12,d500_extension,X4,pixel,499,0,499,0.74806031043101484,0,3.3651687484695003,0.036903800747478503,0.11136742285646051,1.7853002229314143,2.027240623305357,2.5152032679351111,0.44419102161884894
D500_F12_V01,500,12,d500_extension,X4,um,499,0,499,9.5003659424738878,0,42.737643105562654,0.46867826949297697,1.4143662702770483,22.673312831228962,25.745955915978033,31.943081502775907,5.6412259745593811
D500_F12_V01,500,12,d500_extension,X1,pixel,499,0.0080160320641282558,499,2,0,12,0,0,5,6,9,1
D500_F12_V01,500,12,d500_extension,X1,um,499,0.0080160320641282558,499,25.399999999999999,0,152.39999999999998,0,0,63.5,76.199999999999989,114.3,12.699999999999999
D500_F12_V01,500,12,d500_extension,z_top,pixel,499,0.060120240480961921,499,0,0,1,0,0,0,1,1,0
D500_F12_V01,500,12,d500_extension,z_top,um,499,0.060120240480961921,499,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
